from_station,to_station,distance_km,daily_train_count,from_in_rajasthan,to_in_rajasthan
BAZ,SYL,43.0,4,1,1
BDMJ,PNP,24.0,3,0,1
BDSW,SDS,10.0,1,1,1
BDSW,BUGL,5.0,1,1,1
BDW,NSD,19.0,2,1,1
BDW,BJNR,22.0,2,1,1
BDWL,RJS,13.0,3,1,1
BDWL,SOG,18.0,3,1,1
BEDM,BINR,13.0,4,1,1
BEDM,DEEG,12.0,4,1,1
BEHJ,DEEG,6.0,2,0,1
BER,MJ,88.0,30,1,1
BER,FA,154.0,4,1,1
BER,SOD,66.0,10,1,1
BER,SEU,13.0,7,1,1
BER,HP,34.0,2,1,1
BER,BNGM,5.0,1,1,1
BGKT,LUNI,28.0,12,1,1
BGKT,JU,3.0,23,1,1
BGKT,SMR,77.0,6,1,1
BGKT,PMY,69.0,6,1,1
BHL,BJNR,67.0,29,1,1
BHL,CNA,46.0,23,1,1
BHL,COR,54.0,32,1,1
BHL,NSD,108.0,4,1,1
BHL,MDL,11.0,6,1,1
BHL,RLR,34.0,2,1,1
BHL,GGR,32.0,2,1,1
BHL,HMG,18.0,2,1,1
BHT,MHUL,4.0,2,0,1
BHT,KBKN,6.0,2,0,1
BHWA,DNRP,22.0,4,1,1
BHWA,SJS,31.0,4,1,0
BINR,DEEG,24.0,4,1,1
BINR,GVH,12.0,6,1,1
BINR,JREA,6.0,2,1,0
BIQ,NGLT,6.0,2,1,1
BIQ,DXK,6.0,2,1,0
BIWK,NMH,9.0,2,1,0
BIWK,JWO,7.0,2,1,1
BJNR,NSD,42.0,25,1,1
BJNR,GBP,3.0,2,1,1
BJNR,RLR,33.0,2,1,1
BJNR,MDL,56.0,4,1,1
BJRA,BW,5.0,1,1,1
BJRA,KPO,4.0,1,1,1
BJWS,GRKA,5.0,2,0,1
BKC,OSN,15.0,1,1,1
BKC,HRLI,9.0,1,1,0
BKI,GADJ,85.0,16,1,1
BKI,MURD,32.0,16,1,1
BKI,DO,30.0,56,1,1
BKI,RHG,24.0,14,1,1
BKI,JP,91.0,8,1,1
BKI,BTE,97.0,12,1,1
BKI,BU,13.0,8,1,0
BKI,GLNA,7.0,2,1,1
BKI,SHGN,10.0,1,1,1
BKI,KL,52.0,2,1,1
BKN,SDGH,73.0,14,1,1
BKN,NPS,27.0,12,1,1
BKN,LGH,4.0,30,1,1
BKN,DSO,33.0,14,1,1
BKN,NGO,117.0,6,1,1
BKN,NOK,65.0,34,1,1
BKN,SOG,181.0,6,1,1
BKWA,PJK,6.0,1,1,1
BKWA,KTPK,4.0,1,1,1
BLDI,RNV,70.0,10,0,1
BLDI,LW,10.0,2,0,1
BLDI,JSI,10.0,2,0,1
BLO,CAG,12.0,2,1,1
BLO,MTPC,10.0,2,1,1
BLT,SMR,33.0,16,1,1
BLT,BME,96.0,4,1,1
BLT,BUT,50.0,14,1,1
BLT,LUNI,82.0,2,1,1
BME,BUT,46.0,8,1,1
BME,UTL,11.0,6,1,1
BMK,DABN,10.0,1,0,1
BMNL,JDL,8.0,1,1,1
BMNL,DHRR,7.0,1,1,1
BNDI,PSLI,7.0,2,1,1
BNDI,MLGH,15.0,2,1,1
BNGM,KRW,10.0,1,1,1
BNLW,CKB,43.0,2,1,1
BNLW,DPA,59.0,24,1,1
BNLW,SWM,65.0,16,1,1
BNLW,ISA,26.0,10,1,1
BNLW,CHNN,13.0,4,1,1
BNLW,SRAS,16.0,4,1,1
BNLW,SNGN,54.0,4,1,1
BNO,RKB,13.0,2,1,1
BNO,JWL,8.0,2,1,1
BNO,JUCT,7.0,2,1,1
BNW,SUI,9.0,3,0,1
BNW,DZL,7.0,2,0,1
BOBS,JOB,7.0,2,1,1
BOBS,DNK,11.0,3,1,1
BOBS,DHND,12.0,1,1,1
BOW,BSRL,11.0,2,1,1
BOW,MKN,6.0,2,1,1
BQN,SOD,5.0,1,1,1
BQN,CNL,10.0,1,1,1
BR,NGLT,6.0,2,1,1
BRRG,PFR,30.0,18,1,0
BRRG,RTA,77.0,16,1,0
BRRG,KHRJ,53.0,2,1,0
BRRG,CBK,30.0,14,1,0
BRRG,SFY,88.0,12,1,0
BRRG,MKC,117.0,4,1,0
BRRG,GUNA,97.0,2,1,0
BSJ,FAN,12.0,2,1,1
BSJ,KIN,11.0,2,1,1
BSKO,JHIR,6.0,2,1,1
BSKO,JW,4.0,2,1,1
BSRL,GCH,12.0,2,1,1
BSSL,COR,26.0,2,1,1
BSSL,PSLI,15.0,6,1,1
BSSL,CNA,19.0,4,1,1
BTE,BXN,41.0,24,1,1
BTE,MTJ,34.0,71,1,0
BTE,NBI,28.0,18,1,1
BTE,JP,187.0,15,1,1
BTE,SWM,182.0,20,1,1
BTE,NZM,167.0,2,1,0
BTE,HK,12.0,1,1,0
BTE,NHB,7.0,1,1,0
BTE,HAN,75.0,8,1,1
BTE,GGC,119.0,10,1,1
BTE,DO,126.0,2,1,1
BTE,KOTA,291.0,1,1,1
BTI,HMH,93.0,2,0,1
BU,RHG,12.0,8,0,1
BU,GLNA,6.0,2,0,1
