from_station,to_station,distance_km,daily_train_count,from_in_rajasthan,to_in_rajasthan
OSN,PLCJ,73.0,2,1,1
OTD,RAH,11.0,2,1,1
PDWA,SRPJ,18.0,4,0,1
PGK,SOG,25.0,14,1,1
PIH,RTGH,20.0,2,1,1
PIH,SUJH,26.0,2,1,1
PLCJ,RDRA,47.0,11,1,1
PLCJ,STSN,14.0,1,1,1
PLSN,SIKR,27.0,10,1,1
PLSN,RGS,23.0,10,1,1
PNP,SMK,17.0,17,1,0
PNP,SNP,45.0,19,1,0
PNP,UMB,109.0,25,1,0
PNP,SZM,86.0,4,1,0
POK,RDRA,11.0,10,1,1
PPR,UMED,19.0,4,1,1
PPR,RKB,44.0,1,1,1
PT,TNJR,4.0,4,0,1
RANI,SOS,24.0,6,1,1
RDD,SES,15.0,4,1,1
RGS,SMPR,10.0,13,1,1
RGS,SIKR,50.0,20,1,1
RGS,RNW,32.0,8,1,1
RHG,SRRG,6.0,2,1,1
RJR,RTGH,17.0,18,1,1
RJR,SDGH,47.0,18,1,1
RKK,RMN,5.0,2,1,0
RMA,SGZ,61.0,18,1,1
RMB,SDLP,29.0,4,1,1
RMH,SOG,10.0,1,1,1
RNT,SWM,10.0,2,1,1
RPZ,UDZ,5.0,33,1,1
RSNR,SRW,34.0,4,1,1
RSNR,SOG,56.0,4,1,1
RTGH,SDGH,64.0,8,1,1
RTGH,SUJH,45.0,14,1,1
RTGH,TLC,32.0,2,1,1
RTM,SVA,119.0,2,0,1
RTM,SGZ,133.0,6,0,1
RWJ,SWM,15.0,4,1,1
SALI,SK,7.0,1,1,1
SAS,SNGN,17.0,4,1,1
SDF,SDGH,24.0,8,1,1
SDLP,TSD,65.0,6,1,1
SDLP,SDMK,36.0,4,1,1
SDLP,SWNI,41.0,6,1,1
SDS,SGNR,30.0,10,1,1
SES,ZW,44.0,2,1,1
SEU,SOD,53.0,2,1,1
SGAC,SWM,109.0,4,1,1
SGNR,SRW,47.0,4,1,1
SGZ,SVA,13.0,14,1,1
SGZ,VMA,52.0,6,1,0
SMPA,URML,7.0,2,1,1
SUJH,TLC,13.0,2,1,1
TIBI,TLI,10.0,2,1,1
UDZ,ZW,43.0,4,1,1
UDZ,UMRA,10.0,4,1,1
UMRA,ZW,33.0,4,1,1
